temperature,humidity,speed,power
0.72,0.8,0.23,796.67
0.72,0.8,0.23,758.81
0.72,0.8,0.23,720.8
0.72,0.8,0.15,708.82
0.69,0.8,0.15,726.79
0.69,0.87,0.15,758.74
0.69,0.87,0.15,780.7
0.72,0.8,0.15,830.77
0.77,0.7,0.23,872.55
0.79,0.66,0.31,864.56
0.85,0.56,0.23,900.58
0.85,0.52,0.23,968.39
0.87,0.48,0.08,1136.11
0.87,0.52,0.15,1100.17
0.87,0.48,0.31,1006.32
0.87,0.52,0.46,1052.25
0.85,0.52,0.46,892.68
0.85,0.52,0.38,892.51
0.82,0.56,0.31,911.87
0.79,0.66,0.31,903.33
0.77,0.7,0.31,926.55
0.77,0.7,0.23,890.52
0.74,0.8,0.15,822.63
0.74,0.8,0.23,768.72
0.74,0.8,0.23,750.75
0.74,0.87,0.15,716.94
0.74,0.87,0.15,712.77
0.74,0.8,0.15,684.86
0.74,0.8,0.15,728.79
0.72,0.87,0.08,742.81
0.74,0.8,0,758.74
0.74,0.87,0.23,816.79
0.74,0.87,0.23,884.53
0.79,0.76,0.23,954.41
0.82,0.7,0.15,962.4
0.87,0.61,0.23,1160.14
0.87,0.56,0.38,1190.02
0.9,0.48,0.46,1198
0.9,0.48,0.38,1164.06
0.87,0.48,0.23,1100.17
0.87,0.45,0.23,946.61
0.82,0.61,0.31,958.4
0.79,0.66,0.31,972.38
0.79,0.66,0.15,920.47
0.79,0.66,0.15,898.59
0.77,0.76,0.15,854.58
0.77,0.76,0.15,796.67
0.74,0.8,0.15,750.75
0.72,0.55,0.38,764.47
0.72,0.55,0.46,724.85
0.72,0.55,0.38,724.85
0.72,0.55,0.46,732.78
0.69,0.55,0.38,724.79
0.69,0.6,0.31,750.9
0.69,0.6,0.38,784.75
0.72,0.6,0.46,864.56
0.77,0.47,0.69,887.35
0.77,0.47,0.62,937.36
0.79,0.4,0.62,954.41
0.82,0.31,0.77,886.08
0.82,0.31,0.69,886.16
0.85,0.28,0.62,882.53
0.82,0.31,0.62,848.07
0.82,0.31,0.62,830.25
0.79,0.33,0.54,866.56
0.77,0.3,0.69,872.55
0.74,0.33,0.62,896.58
0.72,0.43,0.62,752.75
0.72,0.47,0.54,577.04
0.69,0.51,0.38,577.62
0.69,0.46,0.31,555.42
0.67,0.46,0.38,531.8
0.67,0.51,0.38,833.96
0.64,0.54,0.31,498.52
0.64,0.59,0.23,428.32
0.62,0.63,0.23,444.29
0.62,0.63,0.23,604.99
0.62,0.63,0.23,842.66
0.62,0.63,0.23,830.52
0.67,0.55,0.23,831.62
0.69,0.51,0.23,882.66
0.77,0.3,0.46,919.71
0.74,0.33,0.54,910.48
0.79,0.3,0.54,916.42
0.79,0.25,0.46,900.67
0.79,0.22,0.46,927.77
0.82,0.23,0.46,924.54
0.79,0.25,0.38,881.46
0.79,0.25,0.38,849.51
0.77,0.24,0.46,862.12
0.74,0.22,0.38,836.48
0.72,0.3,0.38,606.99
0.72,0.3,0.38,590.66
0.72,0.36,0.23,764.68
0.72,0.39,0.31,971.92
0.72,0.39,0.31,805.02
0.72,0.43,0.15,640.66
0.69,0.51,0.23,435.88
0.69,0.51,0.15,437.56
0.69,0.51,0.08,427.26
0.69,0.51,0.08,443.86
0.67,0.6,0.08,615.49
0.67,0.6,0,864.29
0.69,0.6,0.23,837.15
0.72,0.51,0.23,880.64
0.72,0.51,0.15,899.06
0.72,0.47,0.08,878.67
0.72,0.51,0.23,863.98
0.69,0.6,0.23,822.39
0.67,0.75,0.31,566.19
0.69,0.69,0.31,532.56
0.69,0.69,0.31,856.9
0.67,0.75,0.38,908.49
0.67,0.75,0.46,852.58
0.64,0.8,0.38,565.14
0.64,0.8,0.31,591.01
0.67,0.75,0.38,577.54
0.67,0.75,0.31,561.06
0.64,0.75,0.46,824.63
0.59,0.86,0.38,746.76
0.59,0.86,0.46,438.05
0.59,0.86,0.23,421.35
0.59,0.86,0.23,425.38
0.59,0.93,0.15,405.32
0.59,0.86,0.23,437.34
0.59,0.93,0.23,679.27
0.59,0.93,0.23,787.72
0.59,0.93,0.31,509.4
0.59,0.93,0.31,517.09
0.62,0.86,0.31,560.38
0.62,0.8,0.31,911.8
0.62,0.86,0.31,965.95
0.62,0.86,0.31,927.69
0.64,0.8,0.23,911.9
0.64,0.8,0.31,873.47
0.64,0.8,0.15,751.56
0.64,0.8,0.23,554
0.64,0.8,0.15,495.25
0.62,0.86,0.31,725.91
0.62,0.86,0.23,879.64
0.62,0.86,0.23,780.18
0.62,0.86,0.08,822.11
0.62,0.86,0.15,748.96
0.62,0.86,0.15,690.85
0.62,0.86,0.23,439.27
0.62,0.86,0.15,419.3
0.62,0.86,0.15,395.39
0.62,0.86,0.15,387.35
0.62,0.86,0.15,409.38
0.62,0.86,0.15,407.32
0.62,0.93,0.15,746.53
0.62,0.86,0.15,779.73
0.62,0.93,0.23,555.76
0.64,0.8,0.23,525.49
0.67,0.75,0.23,565.42
0.67,0.75,0.23,619.58
0.72,0.64,0.23,940.92
0.69,0.69,0.31,899.11
0.72,0.6,0.15,828.91
0.72,0.55,0.31,814.62
0.72,0.6,0.23,838.65
0.69,0.64,0.38,914.74
0.69,0.64,0.23,629.32
0.67,0.69,0.15,580.13
0.67,0.69,0.15,594.84
0.67,0.69,0.15,554.87
0.67,0.69,0.08,693.52
0.64,0.75,0.15,834.33
0.67,0.75,0.15,618.04
0.67,0.75,0,416.23
0.67,0.75,0,410.31
0.67,0.75,0.15,398.33
0.64,0.8,0.08,427.13
0.64,0.8,0.15,535.11
0.67,0.8,0.15,870.55
0.69,0.75,0,762.14
0.72,0.7,0.23,786.1
0.74,0.64,0.15,856.24
0.77,0.55,0.15,868.85
0.82,0.48,0.31,892.69
0.79,0.47,0.23,884.53
0.77,0.55,0.31,886.52
0.77,0.55,0.23,884.82
0.74,0.64,0.31,976.37
0.74,0.64,0.31,972.38
0.74,0.64,0.31,999.24
0.74,0.6,0.23,959.64
0.72,0.64,0.23,1012.18
0.72,0.64,0.23,980.43
0.72,0.64,0.23,903.31
0.72,0.64,0.23,612.85
0.72,0.64,0.15,525.49
